gene	gene_id	class	behavior	n_guides	theoretical_phenotype	active	expected_sign
GENE0054	54	inactive	linear	5	0.0	false	0
GENE0055	55	negcontrol	linear	5	0.0	false	0
GENE0056	56	inactive	linear	5	0.0	false	0
GENE0057	57	inactive	linear	5	0.0	false	0
GENE0058	58	inactive	linear	5	0.0	false	0
GENE0059	59	inactive	linear	5	0.0	false	0
GENE0060	60	inactive	linear	5	0.0	false	0
GENE0061	61	inactive	sigmoidal	5	0.0	false	0
GENE0062	62	inactive	linear	5	0.0	false	0
GENE0063	63	increasing	linear	5	0.561593712928549	true	1
GENE0064	64	decreasing	linear	5	-0.8374319960779519	true	-1
GENE0065	65	inactive	sigmoidal	5	0.0	false	0
GENE0066	66	inactive	sigmoidal	5	0.0	false	0
GENE0067	67	inactive	linear	5	0.0	false	0
GENE0068	68	inactive	sigmoidal	5	0.0	false	0
GENE0069	69	decreasing	linear	5	-0.4390545961938238	true	-1
GENE0070	70	inactive	linear	5	0.0	false	0
GENE0071	71	inactive	sigmoidal	5	0.0	false	0
GENE0072	72	inactive	linear	5	0.0	false	0
GENE0073	73	inactive	linear	5	0.0	false	0
GENE0074	74	inactive	sigmoidal	5	0.0	false	0
GENE0075	75	inactive	linear	5	0.0	false	0
GENE0076	76	inactive	linear	5	0.0	false	0
GENE0077	77	inactive	linear	5	0.0	false	0
GENE0078	78	inactive	linear	5	0.0	false	0
GENE0079	79	inactive	linear	5	0.0	false	0
GENE0080	80	inactive	linear	5	0.0	false	0
GENE0081	81	inactive	sigmoidal	5	0.0	false	0
GENE0082	82	negcontrol	linear	5	0.0	false	0
GENE0083	83	inactive	sigmoidal	5	0.0	false	0
GENE0084	84	inactive	linear	5	0.0	false	0
GENE0085	85	inactive	linear	5	0.0	false	0
GENE0086	86	decreasing	linear	5	-0.406523382889895	true	-1
GENE0087	87	inactive	linear	5	0.0	false	0
GENE0088	88	inactive	sigmoidal	5	0.0	false	0
GENE0089	89	inactive	sigmoidal	5	0.0	false	0
GENE0090	90	inactive	linear	5	0.0	false	0
GENE0091	91	inactive	sigmoidal	5	0.0	false	0
GENE0092	92	negcontrol	linear	5	0.0	false	0
GENE0093	93	inactive	linear	5	0.0	false	0
GENE0094	94	inactive	linear	5	0.0	false	0
GENE0095	95	negcontrol	linear	5	0.0	false	0
GENE0096	96	inactive	linear	5	0.0	false	0
GENE0097	97	inactive	linear	5	0.0	false	0
GENE0098	98	inactive	linear	5	0.0	false	0
GENE0099	99	inactive	sigmoidal	5	0.0	false	0
GENE0100	100	increasing	linear	5	0.39973425851770344	true	1
GENE0101	101	inactive	linear	5	0.0	false	0
GENE0102	102	inactive	linear	5	0.0	false	0
GENE0103	103	increasing	linear	5	0.6840425139550795	true	1
GENE0104	104	inactive	linear	5	0.0	false	0
GENE0105	105	inactive	linear	5	0.0	false	0
GENE0106	106	increasing	linear	5	0.5279501562849861	true	1
GENE0107	107	inactive	linear	5	0.0	false	0
GENE0108	108	inactive	linear	5	0.0	false	0
GENE0109	109	inactive	sigmoidal	5	0.0	false	0
GENE0110	110	inactive	linear	5	0.0	false	0
GENE0111	111	inactive	linear	5	0.0	false	0
GENE0112	112	increasing	sigmoidal	5	0.4243536231962398	true	1
GENE0113	113	inactive	sigmoidal	5	0.0	false	0
GENE0114	114	inactive	linear	5	0.0	false	0
GENE0115	115	increasing	sigmoidal	5	0.6246971855611816	true	1
GENE0116	116	increasing	sigmoidal	5	0.46307556634650693	true	1
GENE0117	117	decreasing	linear	5	-0.7528519868630658	true	-1
GENE0118	118	inactive	sigmoidal	5	0.0	false	0
GENE0119	119	inactive	linear	5	0.0	false	0
GENE0120	120	inactive	sigmoidal	5	0.0	false	0
GENE0121	121	inactive	linear	5	0.0	false	0
GENE0122	122	inactive	linear	5	0.0	false	0
GENE0123	123	inactive	linear	5	0.0	false	0
GENE0124	124	inactive	linear	5	0.0	false	0
GENE0125	125	inactive	linear	5	0.0	false	0
GENE0126	126	inactive	linear	5	0.0	false	0
GENE0127	127	inactive	linear	5	0.0	false	0
GENE0128	128	decreasing	sigmoidal	5	-0.31244194093136735	true	-1
GENE0129	129	inactive	linear	5	0.0	false	0
GENE0130	130	inactive	linear	5	0.0	false	0
GENE0131	131	inactive	linear	5	0.0	false	0
GENE0132	132	negcontrol	linear	5	0.0	false	0
GENE0133	133	inactive	linear	5	0.0	false	0
GENE0134	134	inactive	linear	5	0.0	false	0
GENE0135	135	decreasing	linear	5	-0.6955504931673445	true	-1
GENE0136	136	inactive	linear	5	0.0	false	0
GENE0137	137	increasing	sigmoidal	5	0.5993813183881815	true	1
GENE0138	138	inactive	sigmoidal	5	0.0	false	0
GENE0139	139	inactive	sigmoidal	5	0.0	false	0
GENE0140	140	inactive	linear	5	0.0	false	0
GENE0141	141	decreasing	linear	5	-0.8008560431346146	true	-1
GENE0142	142	inactive	linear	5	0.0	false	0
GENE0143	143	inactive	linear	5	0.0	false	0
GENE0144	144	increasing	linear	5	0.2823411576800608	true	1
GENE0145	145	inactive	linear	5	0.0	false	0
GENE0146	146	inactive	linear	5	0.0	false	0
GENE0147	147	inactive	linear	5	0.0	false	0
GENE0148	148	inactive	linear	5	0.0	false	0
GENE0149	149	inactive	linear	5	0.0	false	0
GENE0150	150	inactive	linear	5	0.0	false	0
GENE0151	151	inactive	linear	5	0.0	false	0
GENE0152	152	inactive	linear	5	0.0	false	0
GENE0153	153	decreasing	sigmoidal	5	-0.6569206541218752	true	-1
GENE0154	154	inactive	linear	5	0.0	false	0
GENE0155	155	inactive	linear	5	0.0	false	0
GENE0156	156	inactive	linear	5	0.0	false	0
GENE0157	157	inactive	sigmoidal	5	0.0	false	0
GENE0158	158	negcontrol	linear	5	0.0	false	0
GENE0159	159	inactive	sigmoidal	5	0.0	false	0
GENE0160	160	inactive	sigmoidal	5	0.0	false	0
GENE0161	161	inactive	sigmoidal	5	0.0	false	0
GENE0162	162	inactive	linear	5	0.0	false	0
GENE0163	163	increasing	sigmoidal	5	0.6759245441005836	true	1
GENE0164	164	inactive	linear	5	0.0	false	0
GENE0165	165	inactive	linear	5	0.0	false	0
GENE0166	166	inactive	linear	5	0.0	false	0
GENE0167	167	inactive	sigmoidal	5	0.0	false	0
GENE0168	168	inactive	linear	5	0.0	false	0
GENE0169	169	inactive	linear	5	0.0	false	0
GENE0170	170	inactive	sigmoidal	5	0.0	false	0
GENE0171	171	inactive	linear	5	0.0	false	0
GENE0172	172	inactive	linear	5	0.0	false	0
GENE0173	173	inactive	linear	5	0.0	false	0
GENE0174	174	decreasing	linear	5	-0.7228662755906817	true	-1
GENE0175	175	decreasing	linear	5	-0.5899709791422065	true	-1
GENE0176	176	inactive	linear	5	0.0	false	0
GENE0177	177	inactive	linear	5	0.0	false	0
GENE0178	178	inactive	linear	5	0.0	false	0
GENE0179	179	inactive	linear	5	0.0	false	0
GENE0180	180	inactive	sigmoidal	5	0.0	false	0
GENE0181	181	inactive	linear	5	0.0	false	0
GENE0182	182	inactive	sigmoidal	5	0.0	false	0
GENE0183	183	inactive	linear	5	0.0	false	0
GENE0184	184	inactive	linear	5	0.0	false	0
GENE0185	185	inactive	sigmoidal	5	0.0	false	0
GENE0186	186	negcontrol	linear	5	0.0	false	0
GENE0187	187	inactive	linear	5	0.0	false	0
GENE0188	188	inactive	linear	5	0.0	false	0
GENE0189	189	inactive	linear	5	0.0	false	0
GENE0190	190	inactive	sigmoidal	5	0.0	false	0
GENE0191	191	inactive	sigmoidal	5	0.0	false	0
GENE0192	192	inactive	linear	5	0.0	false	0
GENE0193	193	inactive	linear	5	0.0	false	0
GENE0194	194	inactive	sigmoidal	5	0.0	false	0
GENE0195	195	inactive	linear	5	0.0	false	0
GENE0196	196	inactive	linear	5	0.0	false	0
GENE0197	197	inactive	sigmoidal	5	0.0	false	0
GENE0198	198	inactive	linear	5	0.0	false	0
GENE0199	199	inactive	linear	5	0.0	false	0
GENE0200	200	inactive	linear	5	0.0	false	0
GENE0201	201	inactive	sigmoidal	5	0.0	false	0
GENE0202	202	inactive	linear	5	0.0	false	0
GENE0203	203	increasing	linear	5	0.9875106851897197	true	1
GENE0204	204	inactive	linear	5	0.0	false	0
GENE0205	205	negcontrol	sigmoidal	5	0.0	false	0
GENE0206	206	inactive	sigmoidal	5	0.0	false	0
GENE0207	207	decreasing	sigmoidal	5	-0.33935324251551036	true	-1
GENE0208	208	inactive	linear	5	0.0	false	0
GENE0209	209	inactive	linear	5	0.0	false	0
GENE0210	210	inactive	linear	5	0.0	false	0
GENE0211	211	increasing	linear	5	0.6132985762395246	true	1
GENE0212	212	increasing	sigmoidal	5	0.5567424073199183	true	1
GENE0213	213	inactive	linear	5	0.0	false	0
GENE0214	214	inactive	linear	5	0.0	false	0
GENE0215	215	inactive	linear	5	0.0	false	0
GENE0216	216	increasing	linear	5	0.9075795148324841	true	1
GENE0217	217	inactive	sigmoidal	5	0.0	false	0
GENE0218	218	inactive	linear	5	0.0	false	0
GENE0219	219	inactive	sigmoidal	5	0.0	false	0
GENE0220	220	negcontrol	linear	5	0.0	false	0
GENE0221	221	negcontrol	linear	5	0.0	false	0
GENE0222	222	inactive	sigmoidal	5	0.0	false	0
GENE0223	223	inactive	sigmoidal	5	0.0	false	0
GENE0224	224	inactive	linear	5	0.0	false	0
GENE0225	225	increasing	linear	5	0.3731888635675896	true	1
GENE0226	226	inactive	linear	5	0.0	false	0
GENE0227	227	inactive	linear	5	0.0	false	0
GENE0228	228	inactive	linear	5	0.0	false	0
GENE0229	229	inactive	linear	5	0.0	false	0
GENE0230	230	increasing	linear	5	0.38299056187675073	true	1
GENE0231	231	inactive	linear	5	0.0	false	0
GENE0232	232	inactive	linear	5	0.0	false	0
GENE0233	233	inactive	linear	5	0.0	false	0
GENE0234	234	inactive	linear	5	0.0	false	0
GENE0235	235	inactive	linear	5	0.0	false	0
GENE0236	236	inactive	sigmoidal	5	0.0	false	0
GENE0237	237	inactive	linear	5	0.0	false	0
GENE0238	238	inactive	sigmoidal	5	0.0	false	0
GENE0239	239	inactive	sigmoidal	5	0.0	false	0
GENE0240	240	inactive	linear	5	0.0	false	0
GENE0241	241	increasing	linear	5	0.370252736144734	true	1
GENE0242	242	inactive	linear	5	0.0	false	0
GENE0243	243	inactive	sigmoidal	5	0.0	false	0
GENE0244	244	inactive	linear	5	0.0	false	0
GENE0245	245	inactive	linear	5	0.0	false	0
GENE0246	246	increasing	linear	5	0.2804816042742056	true	1
GENE0247	247	inactive	linear	5	0.0	false	0
GENE0248	248	inactive	linear	5	0.0	false	0
GENE0249	249	inactive	linear	5	0.0	false	0
GENE0250	250	inactive	linear	5	0.0	false	0
GENE0251	251	inactive	linear	5	0.0	false	0
GENE0252	252	inactive	linear	5	0.0	false	0
GENE0253	253	inactive	linear	5	0.0	false	0
GENE0254	254	inactive	linear	5	0.0	false	0
GENE0255	255	inactive	sigmoidal	5	0.0	false	0
GENE0256	256	inactive	linear	5	0.0	false	0
GENE0257	257	inactive	sigmoidal	5	0.0	false	0
GENE0258	258	decreasing	linear	5	-0.8936984023574849	true	-1
GENE0259	259	decreasing	linear	5	-0.6796464957910434	true	-1
GENE0260	260	inactive	sigmoidal	5	0.0	false	0
GENE0261	261	inactive	sigmoidal	5	0.0	false	0
GENE0262	262	increasing	linear	5	0.635454376205059	true	1
GENE0263	263	inactive	linear	5	0.0	false	0
GENE0264	264	increasing	linear	5	0.6171520597491932	true	1
GENE0265	265	decreasing	linear	5	-0.85842536402969	true	-1
GENE0266	266	inactive	linear	5	0.0	false	0
GENE0267	267	inactive	linear	5	0.0	false	0
GENE0268	268	inactive	linear	5	0.0	false	0
GENE0269	269	inactive	sigmoidal	5	0.0	false	0
GENE0270	270	increasing	linear	5	0.2102954270021734	true	1
GENE0271	271	inactive	linear	5	0.0	false	0
GENE0272	272	inactive	linear	5	0.0	false	0
GENE0273	273	decreasing	linear	5	-0.8975346824428267	true	-1
GENE0274	274	inactive	linear	5	0.0	false	0
GENE0275	275	inactive	sigmoidal	5	0.0	false	0
GENE0276	276	inactive	linear	5	0.0	false	0
GENE0277	277	decreasing	sigmoidal	5	-0.5432390528142643	true	-1
GENE0278	278	inactive	linear	5	0.0	false	0
GENE0279	279	inactive	linear	5	0.0	false	0
GENE0280	280	negcontrol	linear	5	0.0	false	0
GENE0281	281	inactive	sigmoidal	5	0.0	false	0
GENE0282	282	inactive	linear	5	0.0	false	0
GENE0283	283	inactive	sigmoidal	5	0.0	false	0
GENE0284	284	inactive	linear	5	0.0	false	0
GENE0285	285	inactive	linear	5	0.0	false	0
GENE0286	286	inactive	linear	5	0.0	false	0
GENE0287	287	inactive	sigmoidal	5	0.0	false	0
GENE0288	288	inactive	linear	5	0.0	false	0
GENE0289	289	negcontrol	linear	5	0.0	false	0
GENE0290	290	inactive	linear	5	0.0	false	0
GENE0291	291	inactive	linear	5	0.0	false	0
GENE0292	292	decreasing	linear	5	-0.6152546260523416	true	-1
GENE0293	293	inactive	linear	5	0.0	false	0
GENE0294	294	negcontrol	linear	5	0.0	false	0
GENE0295	295	inactive	linear	5	0.0	false	0
GENE0296	296	negcontrol	sigmoidal	5	0.0	false	0
GENE0297	297	inactive	linear	5	0.0	false	0
GENE0298	298	inactive	linear	5	0.0	false	0
GENE0299	299	inactive	linear	5	0.0	false	0
GENE0300	300	inactive	linear	5	0.0	false	0
GENE0301	301	inactive	linear	5	0.0	false	0
GENE0302	302	inactive	sigmoidal	5	0.0	false	0
GENE0303	303	inactive	linear	5	0.0	false	0
GENE0304	304	increasing	linear	5	0.48028810856841786	true	1
GENE0305	305	decreasing	linear	5	-0.6530503449761418	true	-1
GENE0306	306	inactive	linear	5	0.0	false	0
GENE0307	307	inactive	linear	5	0.0	false	0
GENE0308	308	inactive	sigmoidal	5	0.0	false	0
GENE0309	309	negcontrol	linear	5	0.0	false	0
GENE0310	310	inactive	linear	5	0.0	false	0
GENE0311	311	inactive	linear	5	0.0	false	0
GENE0312	312	inactive	sigmoidal	5	0.0	false	0
GENE0313	313	inactive	linear	5	0.0	false	0
GENE0314	314	increasing	sigmoidal	5	0.6721574302238595	true	1
GENE0315	315	inactive	linear	5	0.0	false	0
GENE0316	316	inactive	linear	5	0.0	false	0
GENE0317	317	inactive	linear	5	0.0	false	0
GENE0318	318	decreasing	linear	5	-0.23384916973312253	true	-1
GENE0319	319	inactive	sigmoidal	5	0.0	false	0
GENE0320	320	inactive	linear	5	0.0	false	0
GENE0321	321	increasing	linear	5	0.5985191188922467	true	1
GENE0322	322	increasing	linear	5	0.5592575970274052	true	1
GENE0323	323	inactive	linear	5	0.0	false	0
GENE0324	324	decreasing	sigmoidal	5	-0.4383598106983441	true	-1
GENE0325	325	inactive	linear	5	0.0	false	0
GENE0326	326	inactive	linear	5	0.0	false	0
GENE0327	327	inactive	sigmoidal	5	0.0	false	0
GENE0328	328	inactive	linear	5	0.0	false	0
GENE0329	329	inactive	linear	5	0.0	false	0
GENE0330	330	inactive	linear	5	0.0	false	0
GENE0331	331	inactive	linear	5	0.0	false	0
GENE0332	332	inactive	sigmoidal	5	0.0	false	0
GENE0333	333	inactive	linear	5	0.0	false	0
GENE0334	334	inactive	sigmoidal	5	0.0	false	0
GENE0335	335	inactive	sigmoidal	5	0.0	false	0
GENE0336	336	inactive	linear	5	0.0	false	0
GENE0337	337	negcontrol	sigmoidal	5	0.0	false	0
GENE0338	338	decreasing	linear	5	-0.6611735007828131	true	-1
GENE0339	339	increasing	linear	5	0.432288852630638	true	1
GENE0340	340	increasing	sigmoidal	5	0.42234465202807936	true	1
GENE0341	341	decreasing	linear	5	-0.37111552361136113	true	-1
GENE0342	342	inactive	linear	5	0.0	false	0
GENE0343	343	inactive	linear	5	0.0	false	0
GENE0344	344	inactive	linear	5	0.0	false	0
GENE0345	345	negcontrol	linear	5	0.0	false	0
GENE0346	346	increasing	linear	5	0.6270323729859348	true	1
GENE0347	347	inactive	linear	5	0.0	false	0
GENE0348	348	increasing	linear	5	0.36336773225004004	true	1
GENE0349	349	increasing	linear	5	0.6944568611134863	true	1
GENE0350	350	inactive	sigmoidal	5	0.0	false	0
GENE0351	351	increasing	linear	5	0.6016123511885653	true	1
GENE0352	352	inactive	linear	5	0.0	false	0
GENE0353	353	inactive	sigmoidal	5	0.0	false	0
GENE0354	354	increasing	linear	5	0.8361737015081556	true	1
GENE0355	355	inactive	linear	5	0.0	false	0
GENE0356	356	inactive	linear	5	0.0	false	0
GENE0357	357	decreasing	linear	5	-0.3432590538965029	true	-1
GENE0358	358	inactive	sigmoidal	5	0.0	false	0
GENE0359	359	decreasing	linear	5	-0.5209458700587094	true	-1
GENE0360	360	increasing	sigmoidal	5	0.6757976674748167	true	1
GENE0361	361	inactive	linear	5	0.0	false	0
GENE0362	362	inactive	linear	5	0.0	false	0
GENE0363	363	increasing	linear	5	0.8193014365806881	true	1
GENE0364	364	increasing	sigmoidal	5	0.4567873137658359	true	1
GENE0365	365	inactive	linear	5	0.0	false	0
GENE0366	366	inactive	linear	5	0.0	false	0
GENE0367	367	inactive	sigmoidal	5	0.0	false	0
GENE0368	368	increasing	linear	5	0.7849723685843742	true	1
GENE0369	369	decreasing	linear	5	-0.39229260436448465	true	-1
GENE0370	370	inactive	linear	5	0.0	false	0
GENE0371	371	decreasing	linear	5	-0.6649464863757636	true	-1
GENE0372	372	inactive	sigmoidal	5	0.0	false	0
GENE0373	373	inactive	linear	5	0.0	false	0
GENE0374	374	inactive	linear	5	0.0	false	0
GENE0375	375	inactive	linear	5	0.0	false	0
GENE0376	376	inactive	linear	5	0.0	false	0
GENE0377	377	inactive	linear	5	0.0	false	0
GENE0378	378	inactive	linear	5	0.0	false	0
GENE0379	379	inactive	linear	5	0.0	false	0
GENE0380	380	inactive	linear	5	0.0	false	0
GENE0381	381	decreasing	linear	5	-0.6403116034244658	true	-1
GENE0382	382	inactive	linear	5	0.0	false	0
GENE0383	383	inactive	linear	5	0.0	false	0
GENE0384	384	inactive	linear	5	0.0	false	0
GENE0385	385	inactive	linear	5	0.0	false	0
GENE0386	386	decreasing	sigmoidal	5	-0.2350420269826854	true	-1
GENE0387	387	increasing	linear	5	0.19895151340912265	true	1
GENE0388	388	inactive	sigmoidal	5	0.0	false	0
GENE0389	389	inactive	sigmoidal	5	0.0	false	0
GENE0390	390	inactive	sigmoidal	5	0.0	false	0
GENE0391	391	inactive	linear	5	0.0	false	0
GENE0392	392	inactive	sigmoidal	5	0.0	false	0
GENE0393	393	inactive	linear	5	0.0	false	0
GENE0394	394	inactive	linear	5	0.0	false	0
GENE0395	395	inactive	linear	5	0.0	false	0
GENE0396	396	decreasing	sigmoidal	5	-0.5807577571567625	true	-1
GENE0397	397	increasing	linear	5	0.044301611377424145	true	1
GENE0398	398	inactive	linear	5	0.0	false	0
GENE0399	399	inactive	sigmoidal	5	0.0	false	0
GENE0400	400	increasing	linear	5	0.5316103550618142	true	1
